Curriculum_ID,Institution_Type,Course_Name,Module_Name,Module_Description,Learning_Outcome,Skill_Name,Skill_Category,Skill_Level,Theory_Hours,Practical_Hours,Assessment_Method
CUR-013,Technical Training Center,Networking,Cloud Computing Module 13,Synthetic module covering concepts and practical applications of Cloud Computing.,Students will demonstrate competency in Cloud Computing through practical tasks.,Cloud Computing,Cloud,Beginner,12,25,Practical Exam
CUR-014,Polytechnic Training Unit,Cloud Computing,Node.js Module 14,Synthetic module covering concepts and practical applications of Node.js.,Students will demonstrate competency in Node.js through practical tasks.,Node.js,Web,Intermediate,10,20,Practical Exam
CUR-015,Polytechnic Training Unit,Python Programming,Node.js Module 15,Synthetic module covering concepts and practical applications of Node.js.,Students will demonstrate competency in Node.js through practical tasks.,Node.js,Web,Advanced,20,20,Written Exam
CUR-016,Technical Training Center,Cybersecurity,Java Module 16,Synthetic module covering concepts and practical applications of Java.,Students will demonstrate competency in Java through practical tasks.,Java,Programming,Intermediate,12,30,Written Exam
CUR-017,TVET Institute,Software Testing,React Module 17,Synthetic module covering concepts and practical applications of React.,Students will demonstrate competency in React through practical tasks.,React,Web,Beginner,12,15,Written Exam
CUR-018,TTC,Database Management,Java Module 18,Synthetic module covering concepts and practical applications of Java.,Students will demonstrate competency in Java through practical tasks.,Java,Programming,Advanced,10,20,Written Exam
CUR-019,TVET Institute,Web Development,Problem Solving Module 19,Synthetic module covering concepts and practical applications of Problem Solving.,Students will demonstrate competency in Problem Solving through practical tasks.,Problem Solving,Soft Skill,Advanced,10,20,Project
CUR-020,TVET Institute,Networking,SQL Module 20,Synthetic module covering concepts and practical applications of SQL.,Students will demonstrate competency in SQL through practical tasks.,SQL,Database,Advanced,12,30,Practical Exam
CUR-021,Technical Training Center,IT Support,HTML Module 21,Synthetic module covering concepts and practical applications of HTML.,Students will demonstrate competency in HTML through practical tasks.,HTML,Web,Intermediate,12,20,Practical Exam
CUR-022,TTC,Python Programming,Git Module 22,Synthetic module covering concepts and practical applications of Git.,Students will demonstrate competency in Git through practical tasks.,Git,Version Control,Intermediate,10,15,Viva
CUR-023,TTC,Database Management,Software Testing Module 23,Synthetic module covering concepts and practical applications of Software Testing.,Students will demonstrate competency in Software Testing through practical tasks.,Software Testing,Testing,Beginner,20,25,Project
CUR-024,Technical Training Center,Python Programming,Teamwork Module 24,Synthetic module covering concepts and practical applications of Teamwork.,Students will demonstrate competency in Teamwork through practical tasks.,Teamwork,Soft Skill,Advanced,10,25,Viva
CUR-025,TTC,Cybersecurity,SQL Module 25,Synthetic module covering concepts and practical applications of SQL.,Students will demonstrate competency in SQL through practical tasks.,SQL,Database,Advanced,15,20,Written Exam
CUR-026,TVET Institute,Cybersecurity,Linux Module 26,Synthetic module covering concepts and practical applications of Linux.,Students will demonstrate competency in Linux through practical tasks.,Linux,Operating System,Advanced,12,30,Practical Exam
CUR-027,TTC,DevOps,CSS Module 27,Synthetic module covering concepts and practical applications of CSS.,Students will demonstrate competency in CSS through practical tasks.,CSS,Web,Intermediate,12,20,Viva
CUR-028,Technical Training Center,Full Stack Development,Problem Solving Module 28,Synthetic module covering concepts and practical applications of Problem Solving.,Students will demonstrate competency in Problem Solving through practical tasks.,Problem Solving,Soft Skill,Beginner,12,20,Written Exam
CUR-029,Polytechnic Training Unit,Software Testing,React Module 29,Synthetic module covering concepts and practical applications of React.,Students will demonstrate competency in React through practical tasks.,React,Web,Advanced,10,15,Practical Exam
CUR-030,TVET Institute,DevOps,SQL Module 30,Synthetic module covering concepts and practical applications of SQL.,Students will demonstrate competency in SQL through practical tasks.,SQL,Database,Beginner,12,30,Project
CUR-031,Technical Training Center,Networking,Cloud Computing Module 31,Synthetic module covering concepts and practical applications of Cloud Computing.,Students will demonstrate competency in Cloud Computing through practical tasks.,Cloud Computing,Cloud,Beginner,10,25,Viva
CUR-032,TTC,Cloud Computing,JavaScript Module 32,Synthetic module covering concepts and practical applications of JavaScript.,Students will demonstrate competency in JavaScript through practical tasks.,JavaScript,Programming,Intermediate,20,20,Written Exam
CUR-033,TTC,Networking,Communication Module 33,Synthetic module covering concepts and practical applications of Communication.,Students will demonstrate competency in Communication through practical tasks.,Communication,Soft Skill,Beginner,12,30,Written Exam
CUR-034,Polytechnic Training Unit,Software Testing,Database Design Module 34,Synthetic module covering concepts and practical applications of Database Design.,Students will demonstrate competency in Database Design through practical tasks.,Database Design,Database,Advanced,12,15,Practical Exam
CUR-035,TVET Institute,IT Support,Networking Module 35,Synthetic module covering concepts and practical applications of Networking.,Students will demonstrate competency in Networking through practical tasks.,Networking,Networking,Beginner,10,15,Practical Exam
CUR-036,Polytechnic Training Unit,DevOps,Node.js Module 36,Synthetic module covering concepts and practical applications of Node.js.,Students will demonstrate competency in Node.js through practical tasks.,Node.js,Web,Advanced,12,15,Practical Exam
CUR-037,Technical Training Center,Full Stack Development,SQL Module 37,Synthetic module covering concepts and practical applications of SQL.,Students will demonstrate competency in SQL through practical tasks.,SQL,Database,Intermediate,10,30,Project
CUR-038,Polytechnic Training Unit,Cloud Computing,Java Module 38,Synthetic module covering concepts and practical applications of Java.,Students will demonstrate competency in Java through practical tasks.,Java,Programming,Intermediate,10,20,Viva
CUR-039,Polytechnic Training Unit,Database Management,SQL Module 39,Synthetic module covering concepts and practical applications of SQL.,Students will demonstrate competency in SQL through practical tasks.,SQL,Database,Advanced,10,20,Practical Exam
CUR-040,TVET Institute,Web Development,Communication Module 40,Synthetic module covering concepts and practical applications of Communication.,Students will demonstrate competency in Communication through practical tasks.,Communication,Soft Skill,Beginner,15,20,Written Exam
CUR-041,TVET Institute,Python Programming,Node.js Module 41,Synthetic module covering concepts and practical applications of Node.js.,Students will demonstrate competency in Node.js through practical tasks.,Node.js,Web,Intermediate,10,30,Viva
CUR-042,TTC,Networking,Python Module 42,Synthetic module covering concepts and practical applications of Python.,Students will demonstrate competency in Python through practical tasks.,Python,Programming,Intermediate,12,20,Project
CUR-043,TVET Institute,Cybersecurity,Database Design Module 43,Synthetic module covering concepts and practical applications of Database Design.,Students will demonstrate competency in Database Design through practical tasks.,Database Design,Database,Intermediate,20,30,Written Exam
CUR-044,TTC,Software Testing,REST API Module 44,Synthetic module covering concepts and practical applications of REST API.,Students will demonstrate competency in REST API through practical tasks.,REST API,Web,Beginner,15,30,Practical Exam
CUR-045,TVET Institute,Cybersecurity,Git Module 45,Synthetic module covering concepts and practical applications of Git.,Students will demonstrate competency in Git through practical tasks.,Git,Version Control,Advanced,10,20,Practical Exam
CUR-046,Polytechnic Training Unit,Python Programming,CSS Module 46,Synthetic module covering concepts and practical applications of CSS.,Students will demonstrate competency in CSS through practical tasks.,CSS,Web,Advanced,15,30,Written Exam
CUR-047,TVET Institute,Full Stack Development,Java Module 47,Synthetic module covering concepts and practical applications of Java.,Students will demonstrate competency in Java through practical tasks.,Java,Programming,Advanced,15,15,Viva
CUR-048,TTC,Cybersecurity,Python Module 48,Synthetic module covering concepts and practical applications of Python.,Students will demonstrate competency in Python through practical tasks.,Python,Programming,Intermediate,10,25,Practical Exam
CUR-049,TTC,Web Development,JavaScript Module 49,Synthetic module covering concepts and practical applications of JavaScript.,Students will demonstrate competency in JavaScript through practical tasks.,JavaScript,Programming,Intermediate,20,20,Practical Exam
CUR-050,Technical Training Center,IT Support,Linux Module 50,Synthetic module covering concepts and practical applications of Linux.,Students will demonstrate competency in Linux through practical tasks.,Linux,Operating System,Beginner,10,30,Written Exam
CUR-051,Technical Training Center,Database Management,JavaScript Module 51,Synthetic module covering concepts and practical applications of JavaScript.,Students will demonstrate competency in JavaScript through practical tasks.,JavaScript,Programming,Beginner,15,25,Practical Exam
CUR-052,TVET Institute,DevOps,SQL Module 52,Synthetic module covering concepts and practical applications of SQL.,Students will demonstrate competency in SQL through practical tasks.,SQL,Database,Advanced,15,30,Viva
CUR-053,TVET Institute,Web Development,SQL Module 53,Synthetic module covering concepts and practical applications of SQL.,Students will demonstrate competency in SQL through practical tasks.,SQL,Database,Intermediate,12,15,Practical Exam
CUR-054,TTC,Database Management,Database Design Module 54,Synthetic module covering concepts and practical applications of Database Design.,Students will demonstrate competency in Database Design through practical tasks.,Database Design,Database,Beginner,15,15,Viva
CUR-055,TVET Institute,Cloud Computing,Teamwork Module 55,Synthetic module covering concepts and practical applications of Teamwork.,Students will demonstrate competency in Teamwork through practical tasks.,Teamwork,Soft Skill,Beginner,15,30,Project
CUR-056,Polytechnic Training Unit,Cybersecurity,Java Module 56,Synthetic module covering concepts and practical applications of Java.,Students will demonstrate competency in Java through practical tasks.,Java,Programming,Intermediate,12,25,Project
CUR-057,Polytechnic Training Unit,IT Support,Software Testing Module 57,Synthetic module covering concepts and practical applications of Software Testing.,Students will demonstrate competency in Software Testing through practical tasks.,Software Testing,Testing,Beginner,10,20,Project
CUR-058,TVET Institute,Cybersecurity,Python Module 58,Synthetic module covering concepts and practical applications of Python.,Students will demonstrate competency in Python through practical tasks.,Python,Programming,Intermediate,12,15,Written Exam
CUR-059,Technical Training Center,Software Testing,Communication Module 59,Synthetic module covering concepts and practical applications of Communication.,Students will demonstrate competency in Communication through practical tasks.,Communication,Soft Skill,Advanced,15,30,Practical Exam
CUR-060,TVET Institute,Full Stack Development,Teamwork Module 60,Synthetic module covering concepts and practical applications of Teamwork.,Students will demonstrate competency in Teamwork through practical tasks.,Teamwork,Soft Skill,Intermediate,10,15,Project
CUR-061,TTC,Web Development,Networking Module 61,Synthetic module covering concepts and practical applications of Networking.,Students will demonstrate competency in Networking through practical tasks.,Networking,Networking,Intermediate,20,20,Project
CUR-062,Technical Training Center,Database Management,Java Module 62,Synthetic module covering concepts and practical applications of Java.,Students will demonstrate competency in Java through practical tasks.,Java,Programming,Advanced,10,20,Practical Exam
CUR-063,TTC,IT Support,Node.js Module 63,Synthetic module covering concepts and practical applications of Node.js.,Students will demonstrate competency in Node.js through practical tasks.,Node.js,Web,Beginner,20,25,Practical Exam
CUR-064,TTC,Python Programming,CSS Module 64,Synthetic module covering concepts and practical applications of CSS.,Students will demonstrate competency in CSS through practical tasks.,CSS,Web,Intermediate,20,20,Written Exam
CUR-065,Polytechnic Training Unit,Database Management,Python Module 65,Synthetic module covering concepts and practical applications of Python.,Students will demonstrate competency in Python through practical tasks.,Python,Programming,Intermediate,10,30,Project
CUR-066,Polytechnic Training Unit,Database Management,JavaScript Module 66,Synthetic module covering concepts and practical applications of JavaScript.,Students will demonstrate competency in JavaScript through practical tasks.,JavaScript,Programming,Beginner,10,15,Written Exam
CUR-067,TVET Institute,Full Stack Development,Teamwork Module 67,Synthetic module covering concepts and practical applications of Teamwork.,Students will demonstrate competency in Teamwork through practical tasks.,Teamwork,Soft Skill,Intermediate,15,15,Written Exam
CUR-068,TVET Institute,Software Testing,HTML Module 68,Synthetic module covering concepts and practical applications of HTML.,Students will demonstrate competency in HTML through practical tasks.,HTML,Web,Intermediate,15,25,Written Exam
CUR-069,TTC,Full Stack Development,Git Module 69,Synthetic module covering concepts and practical applications of Git.,Students will demonstrate competency in Git through practical tasks.,Git,Version Control,Beginner,15,20,Project
CUR-070,Polytechnic Training Unit,Cloud Computing,Cloud Computing Module 70,Synthetic module covering concepts and practical applications of Cloud Computing.,Students will demonstrate competency in Cloud Computing through practical tasks.,Cloud Computing,Cloud,Intermediate,15,15,Written Exam
CUR-071,Technical Training Center,Networking,CSS Module 71,Synthetic module covering concepts and practical applications of CSS.,Students will demonstrate competency in CSS through practical tasks.,CSS,Web,Advanced,15,25,Viva
CUR-072,TTC,DevOps,Database Design Module 72,Synthetic module covering concepts and practical applications of Database Design.,Students will demonstrate competency in Database Design through practical tasks.,Database Design,Database,Intermediate,10,30,Project
CUR-073,Polytechnic Training Unit,IT Support,React Module 73,Synthetic module covering concepts and practical applications of React.,Students will demonstrate competency in React through practical tasks.,React,Web,Advanced,20,15,Written Exam
CUR-074,TVET Institute,Cybersecurity,Communication Module 74,Synthetic module covering concepts and practical applications of Communication.,Students will demonstrate competency in Communication through practical tasks.,Communication,Soft Skill,Intermediate,12,25,Written Exam
CUR-075,Technical Training Center,Software Testing,Git Module 75,Synthetic module covering concepts and practical applications of Git.,Students will demonstrate competency in Git through practical tasks.,Git,Version Control,Beginner,10,25,Viva
CUR-076,Technical Training Center,Database Management,Python Module 76,Synthetic module covering concepts and practical applications of Python.,Students will demonstrate competency in Python through practical tasks.,Python,Programming,Intermediate,15,30,Written Exam
CUR-077,TVET Institute,Software Testing,Git Module 77,Synthetic module covering concepts and practical applications of Git.,Students will demonstrate competency in Git through practical tasks.,Git,Version Control,Advanced,10,25,Written Exam
CUR-078,Polytechnic Training Unit,Networking,Python Module 78,Synthetic module covering concepts and practical applications of Python.,Students will demonstrate competency in Python through practical tasks.,Python,Programming,Intermediate,10,30,Written Exam
CUR-079,Technical Training Center,Database Management,Python Module 79,Synthetic module covering concepts and practical applications of Python.,Students will demonstrate competency in Python through practical tasks.,Python,Programming,Beginner,15,15,Practical Exam
CUR-080,TTC,Networking,Node.js Module 80,Synthetic module covering concepts and practical applications of Node.js.,Students will demonstrate competency in Node.js through practical tasks.,Node.js,Web,Beginner,15,25,Project
CUR-081,TVET Institute,Web Development,Docker Module 81,Synthetic module covering concepts and practical applications of Docker.,Students will demonstrate competency in Docker through practical tasks.,Docker,DevOps,Advanced,10,15,Written Exam
CUR-082,TVET Institute,Cloud Computing,Java Module 82,Synthetic module covering concepts and practical applications of Java.,Students will demonstrate competency in Java through practical tasks.,Java,Programming,Intermediate,12,15,Written Exam
CUR-083,Technical Training Center,Cloud Computing,Linux Module 83,Synthetic module covering concepts and practical applications of Linux.,Students will demonstrate competency in Linux through practical tasks.,Linux,Operating System,Intermediate,10,30,Written Exam
CUR-084,Polytechnic Training Unit,DevOps,Teamwork Module 84,Synthetic module covering concepts and practical applications of Teamwork.,Students will demonstrate competency in Teamwork through practical tasks.,Teamwork,Soft Skill,Beginner,20,15,Viva
CUR-085,TVET Institute,Cybersecurity,REST API Module 85,Synthetic module covering concepts and practical applications of REST API.,Students will demonstrate competency in REST API through practical tasks.,REST API,Web,Intermediate,10,20,Project
CUR-086,TVET Institute,IT Support,Software Testing Module 86,Synthetic module covering concepts and practical applications of Software Testing.,Students will demonstrate competency in Software Testing through practical tasks.,Software Testing,Testing,Advanced,15,15,Project
CUR-087,TTC,Web Development,Cloud Computing Module 87,Synthetic module covering concepts and practical applications of Cloud Computing.,Students will demonstrate competency in Cloud Computing through practical tasks.,Cloud Computing,Cloud,Intermediate,15,25,Practical Exam
CUR-088,TTC,Web Development,Database Design Module 88,Synthetic module covering concepts and practical applications of Database Design.,Students will demonstrate competency in Database Design through practical tasks.,Database Design,Database,Advanced,20,30,Project
CUR-089,Polytechnic Training Unit,Web Development,Database Design Module 89,Synthetic module covering concepts and practical applications of Database Design.,Students will demonstrate competency in Database Design through practical tasks.,Database Design,Database,Intermediate,15,25,Practical Exam
CUR-090,Polytechnic Training Unit,Cloud Computing,Communication Module 90,Synthetic module covering concepts and practical applications of Communication.,Students will demonstrate competency in Communication through practical tasks.,Communication,Soft Skill,Beginner,12,20,Project
CUR-091,Technical Training Center,Web Development,Problem Solving Module 91,Synthetic module covering concepts and practical applications of Problem Solving.,Students will demonstrate competency in Problem Solving through practical tasks.,Problem Solving,Soft Skill,Advanced,20,15,Project
CUR-092,TVET Institute,Database Management,CSS Module 92,Synthetic module covering concepts and practical applications of CSS.,Students will demonstrate competency in CSS through practical tasks.,CSS,Web,Beginner,15,20,Practical Exam
CUR-093,Technical Training Center,Cybersecurity,Java Module 93,Synthetic module covering concepts and practical applications of Java.,Students will demonstrate competency in Java through practical tasks.,Java,Programming,Intermediate,20,25,Project
CUR-094,TTC,Networking,Problem Solving Module 94,Synthetic module covering concepts and practical applications of Problem Solving.,Students will demonstrate competency in Problem Solving through practical tasks.,Problem Solving,Soft Skill,Advanced,12,15,Written Exam
CUR-095,Technical Training Center,DevOps,CSS Module 95,Synthetic module covering concepts and practical applications of CSS.,Students will demonstrate competency in CSS through practical tasks.,CSS,Web,Intermediate,20,30,Viva
CUR-096,TVET Institute,Software Testing,SQL Module 96,Synthetic module covering concepts and practical applications of SQL.,Students will demonstrate competency in SQL through practical tasks.,SQL,Database,Advanced,15,20,Viva
CUR-097,TTC,Database Management,Java Module 97,Synthetic module covering concepts and practical applications of Java.,Students will demonstrate competency in Java through practical tasks.,Java,Programming,Intermediate,20,15,Practical Exam
CUR-098,Technical Training Center,Software Testing,Cybersecurity Module 98,Synthetic module covering concepts and practical applications of Cybersecurity.,Students will demonstrate competency in Cybersecurity through practical tasks.,Cybersecurity,Security,Intermediate,12,20,Viva
CUR-099,TVET Institute,Software Testing,Python Module 99,Synthetic module covering concepts and practical applications of Python.,Students will demonstrate competency in Python through practical tasks.,Python,Programming,Advanced,10,15,Practical Exam
CUR-100,TTC,Networking,React Module 100,Synthetic module covering concepts and practical applications of React.,Students will demonstrate competency in React through practical tasks.,React,Web,Advanced,20,20,Viva
CUR-101,TVET Institute,Software Testing,Node.js Module 101,Synthetic training module focusing on theoretical concepts and practical implementation of Node.js.,Learners will be able to apply Node.js in practical IT tasks and demonstrate competency through assessment activities.,Node.js,Web Development,Intermediate,10,25,Viva
CUR-102,TVET Institute,Software Testing,Database Design Module 102,Synthetic training module focusing on theoretical concepts and practical implementation of Database Design.,Learners will be able to apply Database Design in practical IT tasks and demonstrate competency through assessment activities.,Database Design,Database,Intermediate,20,30,Written Exam
CUR-103,TVET Institute,Web Development,Git Module 103,Synthetic training module focusing on theoretical concepts and practical implementation of Git.,Learners will be able to apply Git in practical IT tasks and demonstrate competency through assessment activities.,Git,Version Control,Beginner,10,20,Practical Exam
CUR-104,TTC,Networking,SQL Module 104,Synthetic training module focusing on theoretical concepts and practical implementation of SQL.,Learners will be able to apply SQL in practical IT tasks and demonstrate competency through assessment activities.,SQL,Database,Advanced,12,30,Practical Exam
CUR-105,TTC,Cybersecurity,JavaScript Module 105,Synthetic training module focusing on theoretical concepts and practical implementation of JavaScript.,Learners will be able to apply JavaScript in practical IT tasks and demonstrate competency through assessment activities.,JavaScript,Programming,Advanced,15,25,Written Exam
CUR-106,TTC,Networking,Node.js Module 106,Synthetic training module focusing on theoretical concepts and practical implementation of Node.js.,Learners will be able to apply Node.js in practical IT tasks and demonstrate competency through assessment activities.,Node.js,Web Development,Advanced,20,30,Viva
CUR-107,TVET Institute,Full Stack Development,Communication Module 107,Synthetic training module focusing on theoretical concepts and practical implementation of Communication.,Learners will be able to apply Communication in practical IT tasks and demonstrate competency through assessment activities.,Communication,Soft Skill,Intermediate,12,30,Practical Exam
CUR-108,Technical Training Center,Java Programming,CSS Module 108,Synthetic training module focusing on theoretical concepts and practical implementation of CSS.,Learners will be able to apply CSS in practical IT tasks and demonstrate competency through assessment activities.,CSS,Web Development,Intermediate,10,25,Viva
CUR-109,Technical Training Center,UI/UX Fundamentals,JavaScript Module 109,Synthetic training module focusing on theoretical concepts and practical implementation of JavaScript.,Learners will be able to apply JavaScript in practical IT tasks and demonstrate competency through assessment activities.,JavaScript,Programming,Intermediate,20,20,Project
CUR-110,Polytechnic Training Unit,Python Programming,Database Design Module 110,Synthetic training module focusing on theoretical concepts and practical implementation of Database Design.,Learners will be able to apply Database Design in practical IT tasks and demonstrate competency through assessment activities.,Database Design,Database,Advanced,12,25,Viva
CUR-111,Technical Training Center,Web Development,SQL Module 111,Synthetic training module focusing on theoretical concepts and practical implementation of SQL.,Learners will be able to apply SQL in practical IT tasks and demonstrate competency through assessment activities.,SQL,Database,Intermediate,12,30,Project
CUR-112,Polytechnic Training Unit,DevOps Essentials,Node.js Module 112,Synthetic training module focusing on theoretical concepts and practical implementation of Node.js.,Learners will be able to apply Node.js in practical IT tasks and demonstrate competency through assessment activities.,Node.js,Web Development,Intermediate,12,20,Viva
CUR-113,Polytechnic Training Unit,Software Testing,Git Module 113,Synthetic training module focusing on theoretical concepts and practical implementation of Git.,Learners will be able to apply Git in practical IT tasks and demonstrate competency through assessment activities.,Git,Version Control,Beginner,20,30,Viva
CUR-114,Polytechnic Training Unit,Networking,HTML Module 114,Synthetic training module focusing on theoretical concepts and practical implementation of HTML.,Learners will be able to apply HTML in practical IT tasks and demonstrate competency through assessment activities.,HTML,Web Development,Advanced,10,15,Practical Exam
CUR-115,Technical Training Center,Java Programming,Database Design Module 115,Synthetic training module focusing on theoretical concepts and practical implementation of Database Design.,Learners will be able to apply Database Design in practical IT tasks and demonstrate competency through assessment activities.,Database Design,Database,Advanced,12,15,Project
CUR-116,TVET Institute,IT Support,Java Module 116,Synthetic training module focusing on theoretical concepts and practical implementation of Java.,Learners will be able to apply Java in practical IT tasks and demonstrate competency through assessment activities.,Java,Programming,Intermediate,20,30,Written Exam
CUR-117,TTC,Cloud Computing,JavaScript Module 117,Synthetic training module focusing on theoretical concepts and practical implementation of JavaScript.,Learners will be able to apply JavaScript in practical IT tasks and demonstrate competency through assessment activities.,JavaScript,Programming,Advanced,10,20,Written Exam
CUR-118,Technical Training Center,Web Development,REST API Module 118,Synthetic training module focusing on theoretical concepts and practical implementation of REST API.,Learners will be able to apply REST API in practical IT tasks and demonstrate competency through assessment activities.,REST API,Web Development,Beginner,15,25,Viva
CUR-119,Polytechnic Training Unit,Cloud Computing,React Module 119,Synthetic training module focusing on theoretical concepts and practical implementation of React.,Learners will be able to apply React in practical IT tasks and demonstrate competency through assessment activities.,React,Web Development,Advanced,20,15,Viva
CUR-120,TTC,UI/UX Fundamentals,Problem Solving Module 120,Synthetic training module focusing on theoretical concepts and practical implementation of Problem Solving.,Learners will be able to apply Problem Solving in practical IT tasks and demonstrate competency through assessment activities.,Problem Solving,Soft Skill,Intermediate,15,30,Viva
CUR-121,Polytechnic Training Unit,Software Testing,Communication Module 121,Synthetic training module focusing on theoretical concepts and practical implementation of Communication.,Learners will be able to apply Communication in practical IT tasks and demonstrate competency through assessment activities.,Communication,Soft Skill,Beginner,20,15,Practical Exam
CUR-122,Polytechnic Training Unit,Python Programming,Networking Module 122,Synthetic training module focusing on theoretical concepts and practical implementation of Networking.,Learners will be able to apply Networking in practical IT tasks and demonstrate competency through assessment activities.,Networking,Networking,Intermediate,15,30,Project
CUR-123,Technical Training Center,Cybersecurity,HTML Module 123,Synthetic training module focusing on theoretical concepts and practical implementation of HTML.,Learners will be able to apply HTML in practical IT tasks and demonstrate competency through assessment activities.,HTML,Web Development,Advanced,15,30,Viva
CUR-124,Technical Training Center,UI/UX Fundamentals,Problem Solving Module 124,Synthetic training module focusing on theoretical concepts and practical implementation of Problem Solving.,Learners will be able to apply Problem Solving in practical IT tasks and demonstrate competency through assessment activities.,Problem Solving,Soft Skill,Intermediate,12,30,Viva
CUR-125,Technical Training Center,Full Stack Development,Problem Solving Module 125,Synthetic training module focusing on theoretical concepts and practical implementation of Problem Solving.,Learners will be able to apply Problem Solving in practical IT tasks and demonstrate competency through assessment activities.,Problem Solving,Soft Skill,Intermediate,15,25,Written Exam
CUR-126,Technical Training Center,IT Support,JavaScript Module 126,Synthetic training module focusing on theoretical concepts and practical implementation of JavaScript.,Learners will be able to apply JavaScript in practical IT tasks and demonstrate competency through assessment activities.,JavaScript,Programming,Advanced,20,30,Project
CUR-127,Technical Training Center,Networking,React Module 127,Synthetic training module focusing on theoretical concepts and practical implementation of React.,Learners will be able to apply React in practical IT tasks and demonstrate competency through assessment activities.,React,Web Development,Advanced,12,25,Project
CUR-128,Polytechnic Training Unit,Networking,REST API Module 128,Synthetic training module focusing on theoretical concepts and practical implementation of REST API.,Learners will be able to apply REST API in practical IT tasks and demonstrate competency through assessment activities.,REST API,Web Development,Advanced,15,15,Practical Exam
CUR-129,TVET Institute,UI/UX Fundamentals,Networking Module 129,Synthetic training module focusing on theoretical concepts and practical implementation of Networking.,Learners will be able to apply Networking in practical IT tasks and demonstrate competency through assessment activities.,Networking,Networking,Beginner,15,20,Project
CUR-130,Polytechnic Training Unit,Java Programming,SQL Module 130,Synthetic training module focusing on theoretical concepts and practical implementation of SQL.,Learners will be able to apply SQL in practical IT tasks and demonstrate competency through assessment activities.,SQL,Database,Intermediate,20,30,Project
CUR-131,Polytechnic Training Unit,Networking,HTML Module 131,Synthetic training module focusing on theoretical concepts and practical implementation of HTML.,Learners will be able to apply HTML in practical IT tasks and demonstrate competency through assessment activities.,HTML,Web Development,Beginner,12,15,Viva
CUR-132,Polytechnic Training Unit,Software Testing,HTML Module 132,Synthetic training module focusing on theoretical concepts and practical implementation of HTML.,Learners will be able to apply HTML in practical IT tasks and demonstrate competency through assessment activities.,HTML,Web Development,Advanced,12,25,Practical Exam
CUR-133,TVET Institute,Java Programming,HTML Module 133,Synthetic training module focusing on theoretical concepts and practical implementation of HTML.,Learners will be able to apply HTML in practical IT tasks and demonstrate competency through assessment activities.,HTML,Web Development,Beginner,15,30,Practical Exam
CUR-134,Technical Training Center,Cloud Computing,REST API Module 134,Synthetic training module focusing on theoretical concepts and practical implementation of REST API.,Learners will be able to apply REST API in practical IT tasks and demonstrate competency through assessment activities.,REST API,Web Development,Beginner,15,25,Viva
CUR-135,TTC,Python Programming,Software Testing Module 135,Synthetic training module focusing on theoretical concepts and practical implementation of Software Testing.,Learners will be able to apply Software Testing in practical IT tasks and demonstrate competency through assessment activities.,Software Testing,Testing,Advanced,15,30,Viva
