Job_ID,Job_Title,Job_Level,Company_Type,Job_Category,Required_Skill,Skill_Category,Experience,Education,Job_Description,Preferred_Skill,Employment_Type
JOB-034,Backend Developer,Entry,IT Services Company,Support,React,Web Development,0-1 Years,BSc in ICT,"The candidate will work as a Backend Developer, develop solutions using React, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Git,Full-Time
JOB-035,Full Stack Developer,Entry,Enterprise,Database,Networking,Networking,1-2 Years,BSc in CSE,"The candidate will work as a Full Stack Developer, develop solutions using Networking, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Docker,Full-Time
JOB-036,Frontend Developer,Junior,Software Company,Cloud,Selenium,Testing,1-2 Years,BSc in CSE,"The candidate will work as a Frontend Developer, develop solutions using Selenium, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Azure,Internship
JOB-037,Cloud Engineer,Mid,IT Services Company,Development,SQL,Database,0-1 Years,BSc in ICT,"The candidate will work as a Cloud Engineer, develop solutions using SQL, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Scrum,Internship
JOB-038,Database Engineer,Entry,Startup,Cloud,Docker,DevOps,0-1 Years,Equivalent Qualification,"The candidate will work as a Database Engineer, develop solutions using Docker, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Git,Internship
JOB-039,IT Support Engineer,Junior,Outsourcing Firm,Database,React,Web Development,0-1 Years,Equivalent Qualification,"The candidate will work as a IT Support Engineer, develop solutions using React, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Docker,Internship
JOB-040,Full Stack Developer,Entry,IT Services Company,QA,Docker,DevOps,0-1 Years,BSc in ICT,"The candidate will work as a Full Stack Developer, develop solutions using Docker, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Kubernetes,Full-Time
JOB-041,QA Engineer,Mid,IT Services Company,Cloud,Linux,Operating System,1-2 Years,BSc in CSE,"The candidate will work as a QA Engineer, develop solutions using Linux, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Leadership,Internship
JOB-042,Network Engineer,Mid,IT Services Company,Support,Node.js,Web Development,0-1 Years,BSc in ICT,"The candidate will work as a Network Engineer, develop solutions using Node.js, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Communication,Contract
JOB-043,Network Engineer,Junior,IT Services Company,Development,MongoDB,Database,2-3 Years,BSc in CSE,"The candidate will work as a Network Engineer, develop solutions using MongoDB, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Git,Contract
JOB-044,DevOps Engineer,Entry,Outsourcing Firm,QA,Cybersecurity,Cybersecurity,1-2 Years,Diploma in CSE,"The candidate will work as a DevOps Engineer, develop solutions using Cybersecurity, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Kubernetes,Contract
JOB-045,Cybersecurity Analyst,Junior,Enterprise,Development,Jenkins,DevOps,0-1 Years,BSc in CSE,"The candidate will work as a Cybersecurity Analyst, develop solutions using Jenkins, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Leadership,Full-Time
JOB-046,Full Stack Developer,Entry,Software Company,QA,Linux,Operating System,0-1 Years,BSc in CSE,"The candidate will work as a Full Stack Developer, develop solutions using Linux, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Scrum,Contract
JOB-047,Backend Developer,Mid,Startup,Networking,Docker,DevOps,0-1 Years,BSc in CSE,"The candidate will work as a Backend Developer, develop solutions using Docker, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Agile,Contract
JOB-048,Network Engineer,Entry,Outsourcing Firm,Support,Jenkins,DevOps,0-1 Years,Diploma in CSE,"The candidate will work as a Network Engineer, develop solutions using Jenkins, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Docker,Full-Time
JOB-049,QA Engineer,Entry,Software Company,Database,MongoDB,Database,0-1 Years,Diploma in CSE,"The candidate will work as a QA Engineer, develop solutions using MongoDB, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Azure,Full-Time
JOB-050,DevOps Engineer,Mid,Outsourcing Firm,Development,Jenkins,DevOps,1-2 Years,Diploma in CSE,"The candidate will work as a DevOps Engineer, develop solutions using Jenkins, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",CI/CD,Full-Time
JOB-051,Cloud Engineer,Mid,Software Company,Support,JavaScript,Programming,0-1 Years,BSc in CSE,"The candidate will work as a Cloud Engineer, develop solutions using JavaScript, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Git,Contract
JOB-052,Database Engineer,Entry,Enterprise,Database,Teamwork,Soft Skill,2-3 Years,BSc in CSE,"The candidate will work as a Database Engineer, develop solutions using Teamwork, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Docker,Full-Time
JOB-053,QA Engineer,Mid,Outsourcing Firm,Cybersecurity,Problem Solving,Soft Skill,2-3 Years,BSc in ICT,"The candidate will work as a QA Engineer, develop solutions using Problem Solving, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Azure,Full-Time
JOB-054,Junior Software Engineer,Junior,Outsourcing Firm,DevOps,Problem Solving,Soft Skill,2-3 Years,BSc in CSE,"The candidate will work as a Junior Software Engineer, develop solutions using Problem Solving, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",AWS,Full-Time
JOB-055,Junior Software Engineer,Entry,Enterprise,QA,Networking,Networking,2-3 Years,Equivalent Qualification,"The candidate will work as a Junior Software Engineer, develop solutions using Networking, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Leadership,Full-Time
JOB-056,Cybersecurity Analyst,Junior,IT Services Company,Development,MySQL,Database,1-2 Years,BSc in CSE,"The candidate will work as a Cybersecurity Analyst, develop solutions using MySQL, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Communication,Contract
JOB-057,Junior Software Engineer,Junior,Enterprise,Cybersecurity,Cybersecurity,Cybersecurity,1-2 Years,Diploma in CSE,"The candidate will work as a Junior Software Engineer, develop solutions using Cybersecurity, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Azure,Contract
JOB-058,Frontend Developer,Junior,IT Services Company,DevOps,Selenium,Testing,0-1 Years,BSc in CSE,"The candidate will work as a Frontend Developer, develop solutions using Selenium, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Agile,Internship
JOB-059,Network Engineer,Entry,IT Services Company,Support,Python,Programming,1-2 Years,BSc in CSE,"The candidate will work as a Network Engineer, develop solutions using Python, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Git,Internship
JOB-060,Frontend Developer,Mid,Outsourcing Firm,Cloud,Jenkins,DevOps,1-2 Years,Diploma in CSE,"The candidate will work as a Frontend Developer, develop solutions using Jenkins, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",CI/CD,Contract
JOB-061,DevOps Engineer,Mid,Software Company,Cloud,MySQL,Database,2-3 Years,Equivalent Qualification,"The candidate will work as a DevOps Engineer, develop solutions using MySQL, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Kubernetes,Contract
JOB-062,Network Engineer,Entry,Outsourcing Firm,Development,Java,Programming,2-3 Years,Equivalent Qualification,"The candidate will work as a Network Engineer, develop solutions using Java, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Docker,Contract
JOB-063,QA Engineer,Entry,Software Company,Database,Problem Solving,Soft Skill,0-1 Years,BSc in CSE,"The candidate will work as a QA Engineer, develop solutions using Problem Solving, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Communication,Internship
JOB-064,Network Engineer,Mid,Outsourcing Firm,Networking,MongoDB,Database,0-1 Years,BSc in CSE,"The candidate will work as a Network Engineer, develop solutions using MongoDB, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",AWS,Contract
JOB-065,DevOps Engineer,Entry,Outsourcing Firm,QA,Selenium,Testing,2-3 Years,Equivalent Qualification,"The candidate will work as a DevOps Engineer, develop solutions using Selenium, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Agile,Internship
JOB-066,Database Engineer,Mid,Startup,Support,Docker,DevOps,2-3 Years,BSc in CSE,"The candidate will work as a Database Engineer, develop solutions using Docker, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Kubernetes,Internship
JOB-067,IT Support Engineer,Mid,IT Services Company,Cybersecurity,SQL,Database,2-3 Years,BSc in ICT,"The candidate will work as a IT Support Engineer, develop solutions using SQL, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Docker,Internship
JOB-068,Network Engineer,Entry,Outsourcing Firm,QA,Problem Solving,Soft Skill,2-3 Years,Equivalent Qualification,"The candidate will work as a Network Engineer, develop solutions using Problem Solving, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Communication,Internship
JOB-069,Network Engineer,Entry,Outsourcing Firm,Development,Java,Programming,0-1 Years,BSc in ICT,"The candidate will work as a Network Engineer, develop solutions using Java, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Agile,Contract
JOB-070,Network Engineer,Junior,Enterprise,Networking,Java,Programming,2-3 Years,BSc in ICT,"The candidate will work as a Network Engineer, develop solutions using Java, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Agile,Full-Time
JOB-071,Software Engineer,Entry,Startup,Development,AWS,Cloud,1-2 Years,BSc in ICT,"The candidate will work as a Software Engineer, develop solutions using AWS, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",CI/CD,Full-Time
JOB-072,Network Engineer,Mid,Startup,Development,MongoDB,Database,2-3 Years,Diploma in CSE,"The candidate will work as a Network Engineer, develop solutions using MongoDB, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Git,Full-Time
JOB-073,QA Engineer,Mid,Outsourcing Firm,Development,Java,Programming,1-2 Years,Diploma in CSE,"The candidate will work as a QA Engineer, develop solutions using Java, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Scrum,Internship
JOB-074,QA Engineer,Mid,IT Services Company,Development,AWS,Cloud,2-3 Years,BSc in ICT,"The candidate will work as a QA Engineer, develop solutions using AWS, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Leadership,Internship
JOB-075,Software Engineer,Junior,Outsourcing Firm,Networking,JavaScript,Programming,1-2 Years,Diploma in CSE,"The candidate will work as a Software Engineer, develop solutions using JavaScript, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",CI/CD,Full-Time
JOB-076,IT Support Engineer,Junior,Outsourcing Firm,Cybersecurity,Selenium,Testing,2-3 Years,BSc in CSE,"The candidate will work as a IT Support Engineer, develop solutions using Selenium, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Scrum,Full-Time
JOB-077,Cloud Engineer,Mid,Startup,Cybersecurity,JavaScript,Programming,0-1 Years,Equivalent Qualification,"The candidate will work as a Cloud Engineer, develop solutions using JavaScript, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Scrum,Contract
JOB-078,Software Engineer,Mid,Enterprise,Networking,Communication,Soft Skill,0-1 Years,BSc in CSE,"The candidate will work as a Software Engineer, develop solutions using Communication, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Docker,Full-Time
JOB-079,Database Engineer,Entry,Startup,Networking,MySQL,Database,2-3 Years,Equivalent Qualification,"The candidate will work as a Database Engineer, develop solutions using MySQL, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Communication,Full-Time
JOB-080,Software Engineer,Entry,Outsourcing Firm,Development,Communication,Soft Skill,1-2 Years,Equivalent Qualification,"The candidate will work as a Software Engineer, develop solutions using Communication, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",AWS,Contract
JOB-081,Software Engineer,Mid,Startup,Cloud,Python,Programming,0-1 Years,Diploma in CSE,"The candidate will work as a Software Engineer, develop solutions using Python, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",CI/CD,Contract
JOB-082,Junior Software Engineer,Junior,IT Services Company,QA,Teamwork,Soft Skill,0-1 Years,Diploma in CSE,"The candidate will work as a Junior Software Engineer, develop solutions using Teamwork, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Agile,Internship
JOB-083,Cybersecurity Analyst,Junior,Software Company,Development,Docker,DevOps,0-1 Years,BSc in CSE,"The candidate will work as a Cybersecurity Analyst, develop solutions using Docker, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Scrum,Internship
JOB-084,Full Stack Developer,Junior,Startup,Cybersecurity,React,Web Development,0-1 Years,Equivalent Qualification,"The candidate will work as a Full Stack Developer, develop solutions using React, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Leadership,Contract
JOB-085,Cybersecurity Analyst,Junior,IT Services Company,QA,Problem Solving,Soft Skill,2-3 Years,Equivalent Qualification,"The candidate will work as a Cybersecurity Analyst, develop solutions using Problem Solving, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Azure,Internship
JOB-086,Full Stack Developer,Entry,Software Company,Database,Linux,Operating System,2-3 Years,Equivalent Qualification,"The candidate will work as a Full Stack Developer, develop solutions using Linux, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",CI/CD,Contract
JOB-087,Cybersecurity Analyst,Junior,Outsourcing Firm,Development,JavaScript,Programming,1-2 Years,Diploma in CSE,"The candidate will work as a Cybersecurity Analyst, develop solutions using JavaScript, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",AWS,Full-Time
JOB-088,Database Engineer,Junior,Startup,Cybersecurity,Git,Version Control,0-1 Years,BSc in ICT,"The candidate will work as a Database Engineer, develop solutions using Git, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Docker,Internship
JOB-089,DevOps Engineer,Mid,Startup,Networking,Networking,Networking,1-2 Years,Diploma in CSE,"The candidate will work as a DevOps Engineer, develop solutions using Networking, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",AWS,Internship
JOB-090,Software Engineer,Junior,Startup,Database,Linux,Operating System,2-3 Years,BSc in CSE,"The candidate will work as a Software Engineer, develop solutions using Linux, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Azure,Internship
JOB-091,Cloud Engineer,Entry,Startup,DevOps,Problem Solving,Soft Skill,2-3 Years,Diploma in CSE,"The candidate will work as a Cloud Engineer, develop solutions using Problem Solving, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Communication,Full-Time
JOB-092,Software Engineer,Entry,Outsourcing Firm,Cloud,MySQL,Database,1-2 Years,Equivalent Qualification,"The candidate will work as a Software Engineer, develop solutions using MySQL, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Agile,Internship
JOB-093,Software Engineer,Mid,IT Services Company,Networking,MongoDB,Database,0-1 Years,BSc in CSE,"The candidate will work as a Software Engineer, develop solutions using MongoDB, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Agile,Contract
JOB-094,Frontend Developer,Junior,IT Services Company,Cybersecurity,Git,Version Control,0-1 Years,Diploma in CSE,"The candidate will work as a Frontend Developer, develop solutions using Git, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Agile,Full-Time
JOB-095,Full Stack Developer,Entry,Outsourcing Firm,Database,Problem Solving,Soft Skill,0-1 Years,BSc in ICT,"The candidate will work as a Full Stack Developer, develop solutions using Problem Solving, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Scrum,Full-Time
JOB-096,IT Support Engineer,Entry,IT Services Company,Networking,Node.js,Web Development,2-3 Years,Diploma in CSE,"The candidate will work as a IT Support Engineer, develop solutions using Node.js, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Leadership,Full-Time
JOB-097,Full Stack Developer,Junior,Startup,QA,React,Web Development,2-3 Years,BSc in ICT,"The candidate will work as a Full Stack Developer, develop solutions using React, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Docker,Full-Time
JOB-098,Backend Developer,Entry,Software Company,QA,MongoDB,Database,1-2 Years,BSc in ICT,"The candidate will work as a Backend Developer, develop solutions using MongoDB, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Leadership,Full-Time
JOB-099,Backend Developer,Junior,Software Company,Development,JavaScript,Programming,2-3 Years,BSc in CSE,"The candidate will work as a Backend Developer, develop solutions using JavaScript, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",AWS,Full-Time
JOB-100,IT Support Engineer,Entry,Software Company,Support,React,Web Development,1-2 Years,Diploma in CSE,"The candidate will work as a IT Support Engineer, develop solutions using React, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",AWS,Full-Time
JOB-101,Database Engineer,Junior,Startup,Cloud,Problem Solving,Soft Skill,2-3 Years,Equivalent Qualification,"The candidate will work as a Database Engineer, develop solutions using Problem Solving, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Docker,Contract
JOB-102,DevOps Engineer,Entry,Startup,Cybersecurity,Problem Solving,Soft Skill,1-2 Years,Diploma in CSE,"The candidate will work as a DevOps Engineer, develop solutions using Problem Solving, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Git,Full-Time
JOB-103,Full Stack Developer,Entry,Startup,Development,Networking,Networking,0-1 Years,Diploma in CSE,"The candidate will work as a Full Stack Developer, develop solutions using Networking, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Docker,Contract
JOB-104,Database Engineer,Mid,Enterprise,Cybersecurity,React,Web Development,2-3 Years,BSc in ICT,"The candidate will work as a Database Engineer, develop solutions using React, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Kubernetes,Full-Time
JOB-105,IT Support Engineer,Entry,Enterprise,Database,Git,Version Control,2-3 Years,BSc in ICT,"The candidate will work as a IT Support Engineer, develop solutions using Git, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",AWS,Contract
JOB-106,QA Engineer,Entry,IT Services Company,Networking,Selenium,Testing,2-3 Years,Diploma in CSE,"The candidate will work as a QA Engineer, develop solutions using Selenium, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Kubernetes,Contract
JOB-107,Frontend Developer,Mid,Enterprise,Development,Java,Programming,0-1 Years,Equivalent Qualification,"The candidate will work as a Frontend Developer, develop solutions using Java, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Agile,Full-Time
JOB-108,Database Engineer,Junior,IT Services Company,Support,SQL,Database,2-3 Years,BSc in ICT,"The candidate will work as a Database Engineer, develop solutions using SQL, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Communication,Internship
JOB-109,Network Engineer,Mid,Software Company,Networking,Jenkins,DevOps,1-2 Years,BSc in ICT,"The candidate will work as a Network Engineer, develop solutions using Jenkins, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",CI/CD,Contract
JOB-110,Cybersecurity Analyst,Mid,Enterprise,Cloud,MySQL,Database,1-2 Years,BSc in ICT,"The candidate will work as a Cybersecurity Analyst, develop solutions using MySQL, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Communication,Full-Time
JOB-111,Software Engineer,Entry,Software Company,Cybersecurity,JavaScript,Programming,0-1 Years,BSc in CSE,"The candidate will work as a Software Engineer, develop solutions using JavaScript, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",Azure,Full-Time
JOB-112,Software Engineer,Entry,Startup,Database,JavaScript,Programming,2-3 Years,BSc in CSE,"The candidate will work as a Software Engineer, develop solutions using JavaScript, collaborate with cross-functional teams, maintain code quality, and contribute to software delivery.",CI/CD,Full-Time
